Code,Cod, Nam,Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,1450,1390,1300,1240,1180,1140,1120,1090,1030,993,954,905,858,810,786,701,673,638,,
Angola,AGO,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,827,766,690,628,574,519,473,431,395,359,326,300,281,269,258,251,246,241,,
Albania,ALB,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,23,23,21,21,18,22,18,19,20,20,21,22,17,16,16,15,16,15,,
Arab World,AND,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
Argentina,ARB,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,250,243,235,235,226,214,211,201,188,180,174,167,163,157,156,153,152,149,,
Armenia,ARE,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,6,6,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,,
Antigua and Barbuda,ARG,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,66,67,65,65,61,59,57,56,53,56,51,48,47,44,42,41,40,39,,
Australia,ARM,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,43,42,39,38,36,35,36,32,36,32,32,30,30,26,27,28,26,26,,
Austria,ASM,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
Azerbaijan,ATG,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,44,44,43,44,41,40,46,48,50,45,44,43,44,43,42,43,43,42,,
Burundi,AUS,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,7,6,6,6,5,5,5,5,5,5,5,6,6,6,6,6,6,6,,
Belgium,AUT,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,6,6,6,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,,
Benin,AZE,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,47,44,43,44,39,42,35,34,32,32,31,30,29,28,28,27,26,26,,
Burkina Faso,BDI,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,1010,956,925,890,844,814,785,756,733,698,665,635,608,591,576,568,558,548,,
Bangladesh,BEL,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,,
Bulgaria,BEN,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,520,516,511,510,505,500,493,486,480,471,464,458,450,441,432,421,408,397,,
Bahrain,BFA,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,516,501,486,471,454,437,422,410,401,393,385,377,369,362,353,343,331,320,,
